时间戳,冷量需求(kW),运行机组,负载率(%),供水温度(°C),机组能耗(kW),COP,水泵_A,冷却塔_A,水泵能耗_A(kW),冷却塔能耗_A(kW),水泵_B,冷却塔_B,水泵频频率,冷却塔转速,水泵能耗_B(kW),冷却塔能耗_B(kW),冷量预测(kW)
4/16/2025 0:00,382.6,[3],['43.6'],['10.0'],['59.74'],['6.42'],[],[],[],[],[2],[1],['33.6'],['37.9'],['10.7'],['9.5'],301.6976425
4/16/2025 0:15,299.7,[3],['34.9'],['9.9'],['52.27'],['5.88'],[],[],[],[],[2],[1],['31.4'],['28.6'],['4.6'],['4.5'],292.183185
4/16/2025 0:30,270.3,[3],['30.7'],['10.1'],['49.70'],['5.44'],[],[],[],[],[2],[1],['30.0'],['27.2'],['4.2'],['4.2'],282.6687275
4/16/2025 0:45,299.6,[3],['34.7'],['9.9'],['52.27'],['5.84'],[],[],[],[],[2],[1],['31.4'],['30.1'],['4.6'],['5.0'],273.15427
4/16/2025 1:00,296.9,[3],['33.9'],['10.0'],['52.27'],['5.70'],[],[],[],[],[1],[1],['31.1'],['28.7'],['10.0'],['4.6'],262.6242675
4/16/2025 1:15,327.3,[3],['37.4'],['10.0'],['55.73'],['5.91'],[],[],[],[],[1],[1],['32.2'],['29.4'],['4.8'],['4.8'],252.094265
4/16/2025 1:30,314.3,[3],['35.7'],['10.0'],['54.42'],['5.78'],[],[],[],[],[1],[1],['31.7'],['28.7'],['4.7'],['4.6'],241.5642625
4/16/2025 1:45,329.5,[3],['39.1'],['9.9'],['55.73'],['6.17'],[],[],[],[],[1],[1],['32.6'],['29.5'],['4.9'],['4.8'],231.03426
4/16/2025 2:00,337.9,[3],['38.5'],['9.9'],['55.73'],['6.08'],[],[],[],[],[1],[1],['32.5'],['28.7'],['4.9'],['4.6'],245.524495
4/16/2025 2:15,323.6,[3],['38.1'],['9.9'],['55.73'],['6.02'],[],[],[],[],[1],[1],['32.1'],['25.3'],['4.8'],['3.6'],260.01473
4/16/2025 2:30,338.3,[3],['39.6'],['9.9'],['55.73'],['6.26'],[],[],[],[],[1],[1],['32.6'],['26.5'],['4.9'],['3.9'],274.504965
4/16/2025 2:45,327.4,[3],['38.4'],['9.9'],['55.73'],['6.07'],[],[],[],[],[1],[1],['32.2'],['25.4'],['4.8'],['3.6'],288.9952
4/16/2025 3:00,326.6,[3],['37.3'],['10.0'],['55.73'],['5.88'],[],[],[],[],[1],[1],['31.2'],['25.0'],['4.5'],['3.5'],288.737505
4/16/2025 3:15,312.6,[3],['35.6'],['10.0'],['53.00'],['5.90'],[],[],[],[],[1],[1],['26.3'],['25.0'],['3.3'],['3.5'],288.47981
4/16/2025 3:30,329.3,[3],['38.3'],['9.9'],['55.73'],['6.04'],[],[],[],[],[1],[1],['27.7'],['25.0'],['3.7'],['3.5'],288.222115
4/16/2025 3:45,323.5,[3],['39.0'],['9.9'],['55.73'],['6.16'],[],[],[],[],[1],[1],['27.2'],['25.0'],['3.6'],['3.5'],287.96442
4/16/2025 4:00,328,[3],['39.5'],['9.9'],['55.63'],['6.26'],[],[],[],[],[1],[1],['26.2'],['25.0'],['3.3'],['3.5'],312.51999
4/16/2025 4:15,313.5,[3],['35.7'],['10.0'],['52.43'],['5.99'],[],[],[],[],[1],[1],['29.9'],['25.0'],['4.2'],['3.5'],337.07556
4/16/2025 4:30,324.4,[3],['38.2'],['9.9'],['54.82'],['6.13'],[],[],[],[],[2],[1],['31.3'],['25.0'],['10.1'],['3.5'],361.63113
4/16/2025 4:45,327.9,[3],['38.9'],['9.9'],['54.82'],['6.24'],[],[],[],[],[2],[1],['30.6'],['25.0'],['4.4'],['3.5'],386.1867
4/16/2025 5:00,329.8,[3],['37.7'],['10.0'],['54.82'],['6.05'],[],[],[],[],[2],[1],['29.3'],['25.0'],['4.0'],['3.5'],397.37562
4/16/2025 5:15,325.8,[3],['39.4'],['9.9'],['54.82'],['6.32'],[],[],[],[],[2],[1],['32.6'],['27.6'],['4.9'],['4.3'],408.56454
4/16/2025 5:30,327.5,[3],['37.9'],['9.9'],['55.16'],['6.05'],[],[],[],[],[2],[1],['32.3'],['28.7'],['4.8'],['4.6'],419.75346
4/16/2025 5:45,325.2,[3],['39.4'],['9.9'],['55.27'],['6.27'],[],[],[],[],[2],[1],['32.7'],['31.9'],['4.9'],['5.6'],430.94238
4/16/2025 6:00,323.1,[3],['37.3'],['10.0'],['55.27'],['5.95'],[],[],[],[],[2],[1],['32.2'],['31.1'],['4.8'],['5.4'],460.4062475
4/16/2025 6:15,366.6,[3],['41.9'],['10.0'],['57.48'],['6.41'],[],[],[],[],[2],[1],['33.2'],['36.8'],['5.1'],['7.4'],489.870115
4/16/2025 6:30,353.6,[3],['40.4'],['10.0'],['55.49'],['6.40'],[],[],[],[],[2],[1],['32.8'],['36.2'],['5.0'],['7.2'],519.3339825
4/16/2025 6:45,380.5,[3],['44.1'],['10.0'],['59.28'],['6.55'],[],[],[],[],[2],[1],['33.6'],['38.9'],['5.2'],['8.2'],548.79785
4/16/2025 7:00,398.6,[3],['45.4'],['10.0'],['60.09'],['6.65'],[],[],[],[],[2],[1],['33.5'],['42.3'],['5.1'],['9.7'],575.2334625
4/16/2025 7:15,489.2,[3],['55.9'],['10.0'],['67.25'],['7.32'],[],[],[],[],[2],[1],['34.8'],['47.7'],['5.5'],['12.2'],601.669075
4/16/2025 7:30,573.6,[3],['65.2'],['10.0'],['85.16'],['6.74'],[],[],[],[],[2],[1],['47.5'],['50.0'],['9.6'],['13.3'],628.1046875
4/16/2025 7:45,643.6,[3],['73.2'],['10.0'],['96.56'],['6.67'],[],[],[],[],"[1, 2]",[1],"['28.8', '28.8']",['50.0'],"['9.4', '3.9']",['13.3'],654.5403
4/16/2025 8:00,657.8,[3],['75.1'],['10.0'],['102.40'],['6.45'],[],[],[],[],"[1, 2]",[1],"['33.6', '33.6']",['50.0'],"['5.2', '5.2']",['13.3'],673.0354125
4/16/2025 8:15,708.4,[3],['81.1'],['10.0'],['105.53'],['6.76'],[],[],[],[],"[1, 2]",[1],"['26.7', '26.7']",['50.0'],"['3.4', '3.4']",['13.3'],691.530525
4/16/2025 8:30,720,[3],['81.8'],['10.0'],['107.24'],['6.72'],[],[],[],[],"[1, 2]",[1],"['31.6', '31.6']",['50.0'],"['4.6', '4.6']",['13.3'],710.0256375
4/16/2025 8:45,751.1,[3],['85.4'],['10.0'],['112.23'],['6.70'],[],[],[],[],"[1, 2]",[1],"['35.8', '35.8']",['50.0'],"['5.8', '5.8']",['13.3'],728.52075
4/16/2025 9:00,737.5,[3],['84.1'],['10.0'],['110.14'],['6.72'],[],[],[],[],"[1, 2]",[1],"['35.9', '35.9']",['50.0'],"['5.8', '5.8']",['13.3'],750.4291975
4/16/2025 9:15,757.8,[3],['86.2'],['10.0'],['113.79'],['6.67'],[],[],[],[],"[1, 2]",[1],"['41.6', '41.6']",['50.0'],"['7.6', '7.6']",['13.3'],772.337645
4/16/2025 9:30,770.7,[3],['87.7'],['10.0'],['112.54'],['6.86'],[],[],[],[],"[1, 2]",[1],"['43.7', '43.7']",['50.0'],"['8.3', '8.3']",['13.3'],794.2460925
4/16/2025 9:45,801.4,[3],['91.1'],['10.0'],['118.35'],['6.77'],[],[],[],[],"[1, 2]",[1],"['47.7', '47.7']",['50.0'],"['9.6', '9.6']",['13.3'],816.15454
4/16/2025 10:00,793.3,[3],['90.2'],['10.0'],['118.23'],['6.71'],[],[],[],[],"[1, 2]",[1],"['45.7', '45.7']",['50.0'],"['8.9', '8.9']",['13.3'],864.80278
4/16/2025 10:15,772.6,[3],['88.1'],['10.1'],['112.66'],['6.88'],[],[],[],[],"[1, 2]",[1],"['37.3', '37.3']",['50.0'],"['6.2', '6.2']",['13.3'],913.45102
4/16/2025 10:30,796.3,[3],['90.7'],['10.0'],['118.35'],['6.74'],[],[],[],[],"[1, 2]",[1],"['38.4', '38.4']",['50.0'],"['6.6', '6.6']",['13.3'],962.09926
4/16/2025 10:45,796.3,[3],['91.1'],['10.0'],['118.35'],['6.77'],[],[],[],[],"[1, 2]",[1],"['37.9', '37.9']",['50.0'],"['6.4', '6.4']",['13.3'],1010.7475
4/16/2025 11:00,791.3,[3],['90.1'],['10.1'],['115.59'],['6.86'],[],[],[],[],"[1, 2]",[1],"['38.8', '38.8']",['50.0'],"['6.7', '6.7']",['13.3'],1002.914857
4/16/2025 11:15,836,[3],['95.0'],['10.1'],['120.41'],['6.94'],[],[],[],[],"[1, 2]",[1],"['37.9', '37.9']",['50.0'],"['6.4', '6.4']",['13.3'],995.082215
4/16/2025 11:30,,,,,,,,,,,,,,,,,987.2495725
4/16/2025 11:45,,,,,,,,,,,,,,,,,979.41693
4/16/2025 12:00,1318.5,"[1, 3]","['95.4', '68.8']","['11.9', '12.8']","['138.39', '123.03']","['7.28', '4.92']",[1],"[1, 2]",['22.5'],"['11.7', '11.7']","[1, 2]",[1],"['25.0', '25.0']",['38.9'],"['3.1', '3.1']",['8.2'],999.1715225
4/16/2025 12:15,2104,"[1, 2, 3]","['86.8', '84.0', '35.5']","['9.2', '9.9', '11.3']","['147.39', '143.52', '49.77']","['6.22', '6.18', '6.27']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1018.926115
4/16/2025 12:30,1685.9,"[1, 3]","['100.0', '71.7']","['8.1', '9.0']","['158.48', '118.72']","['6.66', '5.31']",[1],[1],['15.0'],['10.6'],[1],[1],['34.4'],['25.0'],['5.4'],['3.5'],1038.680708
4/16/2025 12:45,1402.6,"[1, 3]","['93.0', '48.0']","['8.0', '10.2']","['143.36', '58.54']","['6.85', '7.21']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1058.4353
4/16/2025 13:00,1294.7,"[1, 3]","['92.7', '36.3']","['7.9', '10.6']","['142.74', '48.76']","['6.86', '6.55']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1060.638525
4/16/2025 13:15,1254.3,"[1, 3]","['92.9', '31.7']","['8.0', '10.9']","['142.74', '44.61']","['6.88', '6.26']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1062.84175
4/16/2025 13:30,1213.8,"[1, 3]","['92.9', '27.7']","['8.2', '11.2']","['143.12', '43.38']","['6.85', '5.62']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1065.044975
4/16/2025 13:45,1200.3,"[1, 3]","['93.0', '25.5']","['8.3', '11.4']","['142.67', '43.12']","['6.89', '5.21']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1067.2482
4/16/2025 14:00,1186.8,"[1, 3]","['67.8', '53.9']","['9.4', '10.3']","['124.03', '62.38']","['5.77', '7.61']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1054.297035
4/16/2025 14:15,1159.9,"[1, 3]","['86.8', '30.9']","['8.5', '11.3']","['138.92', '44.66']","['6.60', '6.09']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1041.34587
4/16/2025 14:30,1146.4,"[1, 3]","['64.6', '52.8']","['9.4', '10.5']","['119.80', '61.78']","['5.70', '7.52']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1028.394705
4/16/2025 14:45,1173.4,"[1, 3]","['86.8', '31.8']","['8.6', '11.4']","['138.92', '47.52']","['6.60', '5.88']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1015.44354
4/16/2025 15:00,1200.3,"[1, 3]","['68.2', '54.6']","['9.4', '10.6']","['124.03', '61.95']","['5.81', '7.75']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],1006.405318
4/16/2025 15:15,1227.3,"[1, 3]","['93.0', '27.9']","['8.4', '11.8']","['146.10', '48.42']","['6.72', '5.07']",[1],[1],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],997.367095
4/16/2025 15:30,1227.3,"[1, 3]","['92.8', '28.3']","['8.4', '11.8']","['146.10', '48.42']","['6.71', '5.14']",[1],[2],['15.0'],['11.7'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],988.3288725
4/16/2025 15:45,1213.8,"[1, 3]","['64.5', '61.0']","['9.6', '10.6']","['123.04', '66.80']","['5.53', '8.04']",[1],[2],['15.0'],['10.6'],[1],[1],['28.4'],['25.0'],['3.8'],['3.5'],979.29065
4/16/2025 16:00,1213.8,"[1, 3]","['63.9', '61.3']","['9.6', '10.6']","['123.22', '66.80']","['5.48', '8.07']",[1],[2],['15.0'],['10.6'],[1],[1],['28.8'],['25.0'],['3.9'],['3.5'],952.1274625
4/16/2025 16:15,1159.9,"[1, 3]","['52.2', '69.2']","['10.0', '10.4']","['96.77', '82.78']","['5.69', '7.36']",[1],[2],['15.0'],['10.6'],[1],[1],['31.7'],['25.0'],['4.7'],['3.5'],924.964275
4/16/2025 16:30,1065.5,"[1, 3]","['52.0', '59.6']","['10.6', '10.9']","['98.32', '65.80']","['5.59', '7.97']",[1],[2],['15.0'],['10.6'],[1],[1],['27.1'],['25.0'],['3.5'],['3.5'],897.8010875
4/16/2025 16:45,1227.3,"[1, 3]","['92.8', '28.3']","['8.4', '12.2']","['146.10', '49.86']","['6.70', '4.99']",[1],[2],['15.0'],['10.6'],[1],[1],['25.0'],['25.0'],['3.1'],['3.5'],870.6379
4/16/2025 17:00,1119.4,"[1, 3]","['52.2', '65.1']","['9.9', '10.8']","['93.49', '75.47']","['5.89', '7.60']",[1],[2],['15.0'],['10.6'],[1],[1],['29.8'],['25.0'],['4.2'],['3.5'],837.9962
4/16/2025 17:15,998,[1],['94.7'],['8.4'],['142.21'],['7.03'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],805.3545
4/16/2025 17:30,957.6,[1],['92.6'],['8.4'],['139.31'],['7.02'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],772.7128
4/16/2025 17:45,903.6,[1],['92.0'],['8.4'],['139.31'],['6.97'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],740.0711
4/16/2025 18:00,903.6,[1],['86.8'],['8.5'],['135.57'],['6.76'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],711.029725
4/16/2025 18:15,890.1,[1],['86.8'],['8.5'],['135.05'],['6.79'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],681.98835
4/16/2025 18:30,890.1,[1],['86.8'],['8.5'],['135.05'],['6.79'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],652.946975
4/16/2025 18:45,890.1,[1],['86.8'],['8.5'],['135.57'],['6.76'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],623.9056
4/16/2025 19:00,876.6,[1],['86.8'],['8.5'],['131.87'],['6.95'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],604.2102
4/16/2025 19:15,876.6,[1],['86.8'],['8.5'],['135.57'],['6.76'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],584.5148
4/16/2025 19:30,768.8,[1],['74.6'],['8.8'],['132.55'],['5.95'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],564.8194
4/16/2025 19:45,782.2,[1],['74.3'],['8.8'],['132.55'],['5.92'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],545.124
4/16/2025 20:00,325.5,[1],['35.1'],['10.3'],['84.04'],['4.41'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],525.94547
4/16/2025 20:15,472,[1],['48.5'],['10.4'],['93.64'],['5.47'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],506.76694
4/16/2025 20:30,488.3,[1],['52.1'],['10.3'],['94.91'],['5.80'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],487.58841
4/16/2025 20:45,634.2,[3],['72.1'],['10.2'],['91.99'],['6.90'],[],[],[],[],[1],[1],['39.2'],['43.5'],['6.8'],['10.2'],468.40988
4/16/2025 21:00,518.4,[3],['59.2'],['9.9'],['80.25'],['6.50'],[],[],[],[],[1],[1],['42.8'],['50.0'],['8.0'],['13.3'],444.138635
4/16/2025 21:15,492.5,[3],['56.3'],['10.0'],['74.86'],['6.61'],[],[],[],[],[1],[1],['34.9'],['50.0'],['5.5'],['13.3'],419.86739
4/16/2025 21:30,478.5,[3],['54.4'],['10.0'],['73.32'],['6.53'],[],[],[],[],[1],[1],['34.5'],['48.2'],['5.4'],['12.4'],395.596145
4/16/2025 21:45,476.7,[3],['54.3'],['10.0'],['73.32'],['6.52'],[],[],[],[],[1],[1],['34.6'],['48.1'],['5.4'],['12.4'],371.3249
4/16/2025 22:00,474.5,[3],['54.2'],['10.0'],['73.32'],['6.50'],[],[],[],[],[1],[1],['34.6'],['47.8'],['5.4'],['12.2'],370.749875
4/16/2025 22:15,449.1,[3],['51.2'],['10.0'],['66.24'],['6.81'],[],[],[],[],[1],[1],['34.1'],['46.5'],['5.3'],['11.6'],370.17485
